country,crpd_category,crpd_category_v,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate
Palestine,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,3.86,Authoritarian Regime,NA,NA,NA,NA,NA,NA,43.2,56.8,NA
Sudan,ratified both crpd and protocol,4,2022,22,22,NA,NA,NA,NA,NA,NA,2.47,Authoritarian Regime,10,1102.15,NA,NA,NA,NA,44.6,55.4,NA
Suriname,ratified protocol,3,2022,40,40,NA,NA,NA,NA,NA,NA,6.95,Flawed Democracy,79,5858.29,NA,NA,NA,NA,NA,NA,NA
Sweden,ratified both crpd and protocol,4,2022,83,83,NA,NA,NA,NA,NA,NA,9.39,Full Democracy,100,55873.22,NA,NA,NA,NA,49,51,7.39
Switzerland,ratified protocol,3,2022,82,82,NA,NA,NA,NA,NA,NA,9.14,Full Democracy,96,92101.47,NA,NA,NA,NA,21.7,78.3,4.3
Syria,ratified both crpd and protocol,4,2022,13,13,NA,NA,NA,NA,NA,NA,1.43,Authoritarian Regime,1,NA,NA,NA,NA,NA,67.5,32.5,NA
Tajikistan,only signed crpd,1,2022,24,24,NA,NA,NA,NA,NA,NA,1.94,Authoritarian Regime,8,1054.19,NA,NA,NA,NA,NA,NA,NA
Thailand,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,6.67,Flawed Democracy,29,6908.8,NA,NA,NA,NA,39.3,60.7,0.94
Timor-Leste,ratified both crpd and protocol,4,2022,42,42,NA,NA,NA,NA,NA,NA,NA,NA,72,2358.41,NA,NA,NA,NA,NA,NA,NA
Togo,ratified both crpd and protocol,4,2022,30,30,NA,NA,NA,NA,NA,NA,2.99,Authoritarian Regime,42,918.38,NA,NA,NA,NA,NA,NA,NA
Tonga,only signed crpd,1,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,ratified protocol,3,2022,42,42,NA,NA,NA,NA,NA,NA,7.16,Flawed Democracy,82,18222.26,NA,NA,NA,NA,71.4,28.6,NA
Tunisia,ratified both crpd and protocol,4,2022,40,40,NA,NA,NA,NA,NA,NA,5.51,Hybrid Regime,64,3776.67,NA,NA,NA,NA,44.3,55.7,NA
Turkey,ratified both crpd and protocol,4,2022,36,36,NA,NA,NA,NA,NA,NA,4.35,Hybrid Regime,32,10616.06,NA,NA,NA,NA,39.7,60.3,10.43
Turkmenistan,ratified both crpd and protocol,4,2022,19,19,NA,NA,NA,NA,NA,NA,1.66,Authoritarian Regime,2,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,5334.99,NA,NA,NA,NA,NA,NA,NA
Uganda,ratified both crpd and protocol,4,2022,26,26,NA,NA,NA,NA,NA,NA,4.55,Hybrid Regime,34,964.22,NA,NA,NA,NA,56.2,43.8,NA
Ukraine,ratified both crpd and protocol,4,2022,33,33,NA,NA,NA,NA,NA,NA,5.42,Hybrid Regime,61,4533.98,NA,NA,NA,NA,46.9,53.1,NA
United Arab Emirates,ratified protocol,3,2022,67,67,NA,NA,NA,NA,NA,NA,2.9,Authoritarian Regime,17,53757.86,NA,NA,NA,NA,15.1,84.9,NA
United Kingdom,ratified both crpd and protocol,4,2022,73,73,NA,NA,NA,NA,NA,NA,8.28,Full Democracy,93,45850.43,NA,NA,NA,NA,46.5,53.5,NA
Tanzania,ratified both crpd and protocol,4,2022,38,38,NA,NA,NA,NA,NA,NA,5.1,Hybrid Regime,34,1192.4,NA,NA,NA,NA,56.3,43.7,NA
United States,only signed crpd,1,2022,69,69,NA,NA,NA,NA,NA,NA,7.85,Flawed Democracy,83,76398.59,NA,NA,NA,NA,48.2,51.8,3.65
Uruguay,ratified both crpd and protocol,4,2022,74,74,NA,NA,NA,NA,NA,NA,8.91,Full Democracy,97,20795.04,NA,NA,NA,NA,51.4,48.6,7.87
Uzbekistan,ratified protocol,3,2022,31,31,NA,NA,NA,NA,NA,NA,2.12,Authoritarian Regime,11,2255.15,NA,NA,NA,NA,33.8,66.2,NA
Vanuatu,ratified protocol,3,2022,48,48,NA,NA,NA,NA,NA,NA,NA,NA,82,3010.29,NA,NA,NA,NA,NA,NA,NA
Venezuela,ratified protocol,3,2022,14,14,NA,NA,NA,NA,NA,NA,2.23,Authoritarian Regime,14,NA,NA,NA,NA,NA,83.6,16.4,NA
Vietnam,ratified protocol,3,2022,42,42,NA,NA,NA,NA,NA,NA,2.73,Authoritarian Regime,19,4163.51,NA,NA,NA,NA,45.8,54.2,1.54
Yemen,ratified both crpd and protocol,4,2022,16,16,NA,NA,NA,NA,NA,NA,1.95,Authoritarian Regime,9,676.93,NA,NA,NA,NA,NA,NA,NA
Zambia,ratified protocol,3,2022,33,33,NA,NA,NA,NA,NA,NA,5.8,Hybrid Regime,51,1487.91,NA,NA,NA,NA,46.3,53.7,NA
Zimbabwe,ratified both crpd and protocol,4,2022,23,23,NA,NA,NA,NA,NA,NA,2.92,Authoritarian Regime,28,1267,NA,NA,NA,NA,59.7,40.3,NA
