country,crpd_category,crpd_category_v,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,masculinity_index,crime_index,safety_index,unemployment_rate
Botswana,ratified protocol,3,2018,61,61,NA,NA,NA,NA,NA,NA,7.81,Flawed Democracy,72,6947.82,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,ratified protocol,3,2017,61,61,NA,NA,NA,NA,NA,NA,7.81,Flawed Democracy,72,6705.34,NA,NA,NA,NA,NA,58.2,41.8,NA
Brazil,ratified both crpd and protocol,4,2023,NA,NA,69,36,49,76,28,59,NA,NA,72,NA,NA,NA,NA,NA,49,66.6,33.4,NA
Brazil,ratified both crpd and protocol,4,2022,38,38,NA,NA,NA,NA,NA,NA,6.78,Flawed Democracy,73,8917.67,NA,NA,NA,NA,NA,67,33,9.23
Brazil,ratified both crpd and protocol,4,2021,38,38,NA,NA,NA,NA,NA,NA,6.86,Flawed Democracy,74,7696.79,0.75,72.75,15.6,8.13,NA,67.8,32.2,13.16
Brazil,ratified both crpd and protocol,4,2020,38,38,NA,NA,NA,NA,NA,NA,6.92,Flawed Democracy,75,6923.7,NA,NA,NA,NA,NA,68.9,31.1,13.7
Brazil,ratified both crpd and protocol,4,2019,35,35,NA,NA,NA,NA,NA,NA,6.86,Flawed Democracy,75,8845.32,NA,NA,NA,NA,NA,70.2,29.8,11.94
Brazil,ratified both crpd and protocol,4,2018,35,35,NA,NA,NA,NA,NA,NA,6.97,Flawed Democracy,78,9121.02,NA,NA,NA,NA,NA,70.6,29.4,12.33
Brazil,ratified both crpd and protocol,4,2017,37,37,NA,NA,NA,NA,NA,NA,6.86,Flawed Democracy,79,9896.72,NA,NA,NA,NA,NA,70.6,29.4,12.79
Brunei,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,29,71,NA
Brunei,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,37152.47,NA,NA,NA,NA,NA,29,71,NA
Brunei,ratified protocol,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,31448.91,0.83,74.64,13.95,9.18,NA,28,72,4.91
Brunei,ratified protocol,3,2020,60,60,NA,NA,NA,NA,NA,NA,NA,NA,28,27179.34,NA,NA,NA,NA,NA,27.7,72.3,7.41
Brunei,ratified protocol,3,2019,60,60,NA,NA,NA,NA,NA,NA,NA,NA,29,30748.32,NA,NA,NA,NA,NA,NA,NA,6.6
Brunei,ratified protocol,3,2018,63,63,NA,NA,NA,NA,NA,NA,NA,NA,28,31241.02,NA,NA,NA,NA,NA,NA,NA,8.7
Brunei,ratified protocol,3,2017,62,62,NA,NA,NA,NA,NA,NA,NA,NA,29,28186.98,NA,NA,NA,NA,NA,36.1,63.9,9.32
Bulgaria,ratified protocol,3,2023,NA,NA,70,50,40,85,51,16,NA,NA,79,NA,NA,NA,NA,NA,NA,38,62,NA
Bulgaria,ratified protocol,3,2022,43,43,NA,NA,NA,NA,NA,NA,6.53,Flawed Democracy,79,13772.48,NA,NA,NA,NA,NA,38.7,61.3,4.27
Bulgaria,ratified protocol,3,2021,42,42,NA,NA,NA,NA,NA,NA,6.64,Flawed Democracy,78,12222.24,0.8,71.8,13.9,11.41,NA,38.1,61.9,5.27
Bulgaria,ratified protocol,3,2020,44,44,NA,NA,NA,NA,NA,NA,6.71,Flawed Democracy,80,10153.48,NA,NA,NA,NA,NA,38.5,61.5,5.12
Bulgaria,ratified protocol,3,2019,43,43,NA,NA,NA,NA,NA,NA,7.03,Flawed Democracy,80,9878.77,NA,NA,NA,NA,NA,40,60,4.23
Bulgaria,ratified protocol,3,2018,42,42,NA,NA,NA,NA,NA,NA,7.03,Flawed Democracy,80,9451.85,NA,NA,NA,NA,NA,39.7,60.3,5.21
Bulgaria,ratified protocol,3,2017,43,43,NA,NA,NA,NA,NA,NA,7.03,Flawed Democracy,80,8386.59,NA,NA,NA,NA,NA,40.2,59.8,6.16
Burkina Faso,ratified both crpd and protocol,4,2023,NA,NA,70,15,50,55,27,18,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,ratified both crpd and protocol,4,2022,42,42,NA,NA,NA,NA,NA,NA,3.08,Authoritarian Regime,53,832.88,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,ratified both crpd and protocol,4,2021,42,42,NA,NA,NA,NA,NA,NA,3.84,Authoritarian Regime,54,893.08,0.45,59.27,9.14,2.11,NA,NA,NA,NA
Burkina Faso,ratified both crpd and protocol,4,2020,40,40,NA,NA,NA,NA,NA,NA,3.73,Authoritarian Regime,56,833.24,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,ratified both crpd and protocol,4,2019,40,40,NA,NA,NA,NA,NA,NA,4.04,Hybrid Regime,60,772.17,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,ratified both crpd and protocol,4,2018,41,41,NA,NA,NA,NA,NA,NA,4.75,Hybrid Regime,60,779.2,NA,NA,NA,NA,NA,NA,NA,4.69
Burkina Faso,ratified both crpd and protocol,4,2017,42,42,NA,NA,NA,NA,NA,NA,4.75,Hybrid Regime,63,711.18,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,ratified both crpd and protocol,4,2022,17,17,NA,NA,NA,NA,NA,NA,2.13,Authoritarian Regime,14,238.44,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,ratified both crpd and protocol,4,2021,19,19,NA,NA,NA,NA,NA,NA,2.13,Authoritarian Regime,14,221.16,0.43,61.66,10.72,3.13,NA,NA,NA,NA
Burundi,ratified both crpd and protocol,4,2020,19,19,NA,NA,NA,NA,NA,NA,2.14,Authoritarian Regime,13,216.83,NA,NA,NA,NA,NA,NA,NA,1.03
Burundi,ratified both crpd and protocol,4,2019,19,19,NA,NA,NA,NA,NA,NA,2.15,Authoritarian Regime,14,216.97,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,ratified both crpd and protocol,4,2018,17,17,NA,NA,NA,NA,NA,NA,2.33,Authoritarian Regime,18,232.06,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,ratified both crpd and protocol,4,2017,22,22,NA,NA,NA,NA,NA,NA,2.33,Authoritarian Regime,19,244.15,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,ratified protocol,3,2022,60,60,NA,NA,NA,NA,NA,NA,NA,NA,92,3902.59,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,ratified protocol,3,2021,58,58,NA,NA,NA,NA,NA,NA,NA,NA,92,3557.84,0.66,74.05,12.55,6.29,NA,NA,NA,NA
Cabo Verde,ratified protocol,3,2020,58,58,NA,NA,NA,NA,NA,NA,NA,NA,92,3223.74,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,ratified protocol,3,2019,58,58,NA,NA,NA,NA,NA,NA,NA,NA,90,3928.31,NA,NA,NA,NA,NA,NA,NA,11.29
Cabo Verde,ratified protocol,3,2018,57,57,NA,NA,NA,NA,NA,NA,NA,NA,90,3860.45,NA,NA,NA,NA,NA,NA,NA,12.17
Cabo Verde,ratified protocol,3,2017,55,55,NA,NA,NA,NA,NA,NA,NA,NA,90,3534.34,NA,NA,NA,NA,NA,NA,NA,12.24
Cambodia,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,52.9,47.1,NA
Cambodia,ratified protocol,3,2022,24,24,NA,NA,NA,NA,NA,NA,3.18,Authoritarian Regime,24,1786.56,NA,NA,NA,NA,NA,50.7,49.3,NA
Cambodia,ratified protocol,3,2021,23,23,NA,NA,NA,NA,NA,NA,2.9,Authoritarian Regime,24,1625.24,0.59,69.58,11.47,5.09,NA,51.2,48.8,0.4
Cambodia,ratified protocol,3,2020,21,21,NA,NA,NA,NA,NA,NA,3.1,Authoritarian Regime,25,1577.91,NA,NA,NA,NA,NA,50.7,49.3,0.17
Cambodia,ratified protocol,3,2019,20,20,NA,NA,NA,NA,NA,NA,3.53,Authoritarian Regime,26,1671.39,NA,NA,NA,NA,NA,51.3,48.7,0.5
Cambodia,ratified protocol,3,2018,20,20,NA,NA,NA,NA,NA,NA,3.59,Authoritarian Regime,30,1533.32,NA,NA,NA,NA,NA,54.4,45.6,NA
Cambodia,ratified protocol,3,2017,21,21,NA,NA,NA,NA,NA,NA,3.63,Authoritarian Regime,31,1400.9,NA,NA,NA,NA,NA,54.6,45.4,0.14
Cameroon,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,64.8,35.2,NA
Cameroon,ratified protocol,3,2022,26,26,NA,NA,NA,NA,NA,NA,2.56,Authoritarian Regime,15,1588.48,NA,NA,NA,NA,NA,66.6,33.4,NA
Cameroon,ratified protocol,3,2021,27,27,NA,NA,NA,NA,NA,NA,2.56,Authoritarian Regime,16,1666.93,0.58,60.33,13.11,6.15,NA,NA,NA,NA
Cameroon,ratified protocol,3,2020,25,25,NA,NA,NA,NA,NA,NA,2.77,Authoritarian Regime,18,1539.13,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,ratified protocol,3,2019,25,25,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,19,1538.69,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,ratified protocol,3,2018,25,25,NA,NA,NA,NA,NA,NA,3.28,Authoritarian Regime,22,1594.06,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,ratified protocol,3,2017,25,25,NA,NA,NA,NA,NA,NA,3.61,Authoritarian Regime,24,1479.86,NA,NA,NA,NA,NA,NA,NA,NA
Canada,ratified both crpd and protocol,4,2023,NA,NA,39,72,52,48,54,68,NA,NA,98,NA,NA,NA,NA,NA,NA,44.3,55.7,NA
Canada,ratified both crpd and protocol,4,2022,74,74,NA,NA,NA,NA,NA,NA,8.88,Full Democracy,98,54966.49,NA,NA,NA,NA,NA,42.9,57.1,5.28
Canada,ratified both crpd and protocol,4,2021,74,74,NA,NA,NA,NA,NA,NA,8.87,Full Democracy,98,52358.62,0.94,82.66,16.4,13.83,NA,41.2,58.8,7.53
Canada,ratified both crpd and protocol,4,2020,77,77,NA,NA,NA,NA,NA,NA,9.24,Full Democracy,98,43349.68,NA,NA,NA,NA,NA,39.7,60.3,9.66
Canada,ratified both crpd and protocol,4,2019,77,77,NA,NA,NA,NA,NA,NA,9.22,Full Democracy,99,46374.15,NA,NA,NA,NA,NA,39.5,60.5,5.69
Canada,ratified both crpd and protocol,4,2018,81,81,NA,NA,NA,NA,NA,NA,9.15,Full Democracy,99,46547.8,NA,NA,NA,NA,NA,39.3,60.7,5.84
Canada,ratified both crpd and protocol,4,2017,82,82,NA,NA,NA,NA,NA,NA,9.15,Full Democracy,99,45129.43,NA,NA,NA,NA,NA,39.2,60.8,6.43
Central African Republic,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,ratified both crpd and protocol,4,2022,24,24,NA,NA,NA,NA,NA,NA,1.35,Authoritarian Regime,7,427.06,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,ratified both crpd and protocol,4,2021,24,24,NA,NA,NA,NA,NA,NA,1.43,Authoritarian Regime,9,461.14,0.4,53.89,8.04,4.33,NA,NA,NA,NA
Central African Republic,ratified both crpd and protocol,4,2020,26,26,NA,NA,NA,NA,NA,NA,1.32,Authoritarian Regime,10,435.47,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,ratified both crpd and protocol,4,2019,25,25,NA,NA,NA,NA,NA,NA,1.32,Authoritarian Regime,9,426.41,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,ratified both crpd and protocol,4,2018,26,26,NA,NA,NA,NA,NA,NA,1.52,Authoritarian Regime,9,435.93,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,ratified both crpd and protocol,4,2017,23,23,NA,NA,NA,NA,NA,NA,1.52,Authoritarian Regime,10,414.74,NA,NA,NA,NA,NA,NA,NA,NA
Chad,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,ratified protocol,3,2022,19,19,NA,NA,NA,NA,NA,NA,1.67,Authoritarian Regime,15,716.8,NA,NA,NA,NA,NA,NA,NA,NA
Chad,ratified protocol,3,2021,20,20,NA,NA,NA,NA,NA,NA,1.67,Authoritarian Regime,17,685.69,0.39,52.53,8.04,2.57,NA,NA,NA,NA
Chad,ratified protocol,3,2020,21,21,NA,NA,NA,NA,NA,NA,1.55,Authoritarian Regime,17,643.77,NA,NA,NA,NA,NA,NA,NA,NA
Chad,ratified protocol,3,2019,20,20,NA,NA,NA,NA,NA,NA,1.61,Authoritarian Regime,17,701.62,NA,NA,NA,NA,NA,NA,NA,NA
Chad,ratified protocol,3,2018,19,19,NA,NA,NA,NA,NA,NA,1.61,Authoritarian Regime,18,720.27,NA,NA,NA,NA,NA,NA,NA,1.13
Chad,ratified protocol,3,2017,20,20,NA,NA,NA,NA,NA,NA,1.5,Authoritarian Regime,18,662.9,NA,NA,NA,NA,NA,NA,NA,NA
Chile,ratified both crpd and protocol,4,2023,NA,NA,63,49,28,86,12,68,NA,NA,94,NA,NA,NA,NA,NA,28,58.1,41.9,NA
Chile,ratified both crpd and protocol,4,2022,67,67,NA,NA,NA,NA,NA,NA,8.22,Full Democracy,94,15355.51,NA,NA,NA,NA,NA,54,46,8.25
Chile,ratified both crpd and protocol,4,2021,67,67,NA,NA,NA,NA,NA,NA,7.92,Flawed Democracy,93,16247.4,0.86,78.94,16.73,10.93,NA,52.1,47.9,9.28
Chile,ratified both crpd and protocol,4,2020,67,67,NA,NA,NA,NA,NA,NA,8.28,Full Democracy,90,13165.39,NA,NA,NA,NA,NA,45.2,54.8,10.94
Chile,ratified both crpd and protocol,4,2019,67,67,NA,NA,NA,NA,NA,NA,8.08,Full Democracy,94,14627.15,NA,NA,NA,NA,NA,46.8,53.2,7.27
Chile,ratified both crpd and protocol,4,2018,67,67,NA,NA,NA,NA,NA,NA,7.97,Flawed Democracy,94,15795.71,NA,NA,NA,NA,NA,46.5,53.5,7.21
Chile,ratified both crpd and protocol,4,2017,67,67,NA,NA,NA,NA,NA,NA,7.84,Flawed Democracy,94,15045.53,NA,NA,NA,NA,NA,47.5,52.5,6.95
China,ratified protocol,3,2023,NA,NA,80,43,66,30,77,24,NA,NA,9,NA,NA,NA,NA,NA,66,26.3,73.7,NA
China,ratified protocol,3,2022,45,45,NA,NA,NA,NA,NA,NA,1.94,Authoritarian Regime,9,12720.22,NA,NA,NA,NA,NA,29.4,70.6,NA
China,ratified protocol,3,2021,45,45,NA,NA,NA,NA,NA,NA,2.21,Authoritarian Regime,9,12617.5,0.77,78.21,14.24,7.6,NA,30.2,69.8,5.11
China,ratified protocol,3,2020,42,42,NA,NA,NA,NA,NA,NA,2.27,Authoritarian Regime,10,10408.72,NA,NA,NA,NA,NA,31.8,68.2,5.61
China,ratified protocol,3,2019,41,41,NA,NA,NA,NA,NA,NA,2.26,Authoritarian Regime,11,10143.86,NA,NA,NA,NA,NA,45.5,54.5,5.15
China,ratified protocol,3,2018,39,39,NA,NA,NA,NA,NA,NA,3.32,Authoritarian Regime,14,9905.41,NA,NA,NA,NA,NA,39.4,60.6,4.93
China,ratified protocol,3,2017,41,41,NA,NA,NA,NA,NA,NA,3.1,Authoritarian Regime,15,8817.05,NA,NA,NA,NA,NA,33.9,66.1,3.9
Colombia,ratified protocol,3,2023,NA,NA,67,29,64,80,6,83,NA,NA,70,NA,NA,NA,NA,NA,64,60.2,39.8,NA
Colombia,ratified protocol,3,2022,39,39,NA,NA,NA,NA,NA,NA,6.72,Flawed Democracy,64,6630.28,NA,NA,NA,NA,NA,57.7,42.3,10.55
Colombia,ratified protocol,3,2021,39,39,NA,NA,NA,NA,NA,NA,6.48,Flawed Democracy,65,6182.71,0.75,72.83,14.44,8.86,NA,55.8,44.2,13.9
Colombia,ratified protocol,3,2020,39,39,NA,NA,NA,NA,NA,NA,7.04,Flawed Democracy,66,5304.29,NA,NA,NA,NA,NA,54.8,45.2,15.98
Colombia,ratified protocol,3,2019,37,37,NA,NA,NA,NA,NA,NA,7.13,Flawed Democracy,66,6436.51,NA,NA,NA,NA,NA,51.3,48.7,10.28
Colombia,ratified protocol,3,2018,36,36,NA,NA,NA,NA,NA,NA,6.96,Flawed Democracy,65,6782.04,NA,NA,NA,NA,NA,50.7,49.3,9.36
Colombia,ratified protocol,3,2017,37,37,NA,NA,NA,NA,NA,NA,6.67,Flawed Democracy,64,6449.97,NA,NA,NA,NA,NA,51.7,48.3,9.09
Comoros,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,ratified protocol,3,2022,19,19,NA,NA,NA,NA,NA,NA,3.2,Authoritarian Regime,42,1484.89,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,ratified protocol,3,2021,20,20,NA,NA,NA,NA,NA,NA,3.2,Authoritarian Regime,42,1577.47,0.56,63.42,11.92,5.08,NA,NA,NA,5.86
Comoros,ratified protocol,3,2020,21,21,NA,NA,NA,NA,NA,NA,3.09,Authoritarian Regime,44,1519.59,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,ratified protocol,3,2019,25,25,NA,NA,NA,NA,NA,NA,3.15,Authoritarian Regime,50,1510.8,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,ratified protocol,3,2018,27,27,NA,NA,NA,NA,NA,NA,3.71,Authoritarian Regime,55,1531.34,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,ratified protocol,3,2017,27,27,NA,NA,NA,NA,NA,NA,3.71,Authoritarian Regime,55,1414.59,NA,NA,NA,NA,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2022,21,21,NA,NA,NA,NA,NA,NA,2.79,Authoritarian Regime,17,2447.99,NA,NA,NA,NA,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2021,21,21,NA,NA,NA,NA,NA,NA,2.79,Authoritarian Regime,20,2290.38,0.57,63.52,12.33,6.17,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2020,19,19,NA,NA,NA,NA,NA,NA,3.11,Authoritarian Regime,20,1838.45,NA,NA,NA,NA,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2019,19,19,NA,NA,NA,NA,NA,NA,3.11,Authoritarian Regime,21,2288.81,NA,NA,NA,NA,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2018,19,19,NA,NA,NA,NA,NA,NA,3.31,Authoritarian Regime,21,2512.38,NA,NA,NA,NA,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2017,21,21,NA,NA,NA,NA,NA,NA,3.25,Authoritarian Regime,27,2088.5,NA,NA,NA,NA,NA,NA,NA,NA
Congo,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook Islands,ratified both crpd and protocol,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,ratified both crpd and protocol,4,2023,NA,NA,35,15,21,86,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,21,53.8,46.2,NA
Costa Rica,ratified both crpd and protocol,4,2022,54,54,NA,NA,NA,NA,NA,NA,8.29,Full Democracy,91,13198.82,NA,NA,NA,NA,NA,53.9,46.1,11.32
Costa Rica,ratified both crpd and protocol,4,2021,58,58,NA,NA,NA,NA,NA,NA,8.07,Full Democracy,91,12537.26,0.81,77.02,16.55,8.8,NA,55.3,44.7,15.14
Costa Rica,ratified both crpd and protocol,4,2020,57,57,NA,NA,NA,NA,NA,NA,8.16,Full Democracy,91,12179.26,NA,NA,NA,NA,NA,56.3,43.7,16.43
Costa Rica,ratified both crpd and protocol,4,2019,56,56,NA,NA,NA,NA,NA,NA,8.13,Full Democracy,91,12669.34,NA,NA,NA,NA,NA,56.1,43.9,10.81
Costa Rica,ratified both crpd and protocol,4,2018,56,56,NA,NA,NA,NA,NA,NA,8.07,Full Democracy,91,12383.15,NA,NA,NA,NA,NA,53.9,46.1,9.01
Costa Rica,ratified both crpd and protocol,4,2017,59,59,NA,NA,NA,NA,NA,NA,7.88,Flawed Democracy,91,12118.13,NA,NA,NA,NA,NA,55.9,44.1,7.73
Cote d'Ivoire,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,ratified protocol,3,2022,37,37,NA,NA,NA,NA,NA,NA,4.22,Hybrid Regime,49,2486.41,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,ratified protocol,3,2021,36,36,NA,NA,NA,NA,NA,NA,4.22,Hybrid Regime,44,2613.38,0.55,58.6,10.68,5.2,NA,NA,NA,NA
Cote d'Ivoire,ratified protocol,3,2020,36,36,NA,NA,NA,NA,NA,NA,4.11,Hybrid Regime,51,2349.07,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,ratified protocol,3,2019,35,35,NA,NA,NA,NA,NA,NA,4.05,Hybrid Regime,51,2290.79,NA,NA,NA,NA,NA,NA,NA,2.4
Cote d'Ivoire,ratified protocol,3,2018,35,35,NA,NA,NA,NA,NA,NA,4.15,Hybrid Regime,51,2295.54,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,ratified protocol,3,2017,36,36,NA,NA,NA,NA,NA,NA,3.93,Authoritarian Regime,52,2113.34,NA,NA,NA,NA,NA,NA,NA,3.27
Croatia,ratified both crpd and protocol,4,2023,NA,NA,73,42,40,80,40,33,NA,NA,84,NA,NA,NA,NA,NA,NA,24.6,75.4,NA
Croatia,ratified both crpd and protocol,4,2022,50,50,NA,NA,NA,NA,NA,NA,6.5,Flawed Democracy,85,18413.23,NA,NA,NA,NA,NA,24.1,75.9,6.96
Croatia,ratified both crpd and protocol,4,2021,47,47,NA,NA,NA,NA,NA,NA,6.5,Flawed Democracy,85,17747.79,0.86,77.58,15.11,12.19,NA,24.9,75.1,7.61
Croatia,ratified both crpd and protocol,4,2020,47,47,NA,NA,NA,NA,NA,NA,6.5,Flawed Democracy,85,14236.54,NA,NA,NA,NA,NA,24.7,75.3,7.51
Croatia,ratified both crpd and protocol,4,2019,47,47,NA,NA,NA,NA,NA,NA,6.57,Flawed Democracy,85,15086.21,NA,NA,NA,NA,NA,24.7,75.3,6.62
Croatia,ratified both crpd and protocol,4,2018,48,48,NA,NA,NA,NA,NA,NA,6.57,Flawed Democracy,86,15003.14,NA,NA,NA,NA,NA,27,73,8.43
Croatia,ratified both crpd and protocol,4,2017,49,49,NA,NA,NA,NA,NA,NA,6.63,Flawed Democracy,87,13562.14,NA,NA,NA,NA,NA,27.8,72.2,11.21
Cuba,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,31.6,68.4,NA
Cuba,ratified protocol,3,2022,45,45,NA,NA,NA,NA,NA,NA,2.65,Authoritarian Regime,12,NA,NA,NA,NA,NA,NA,30.9,69.1,NA
Cuba,ratified protocol,3,2021,46,46,NA,NA,NA,NA,NA,NA,2.59,Authoritarian Regime,13,NA,0.76,73.68,14.44,12.5,NA,29.1,70.9,NA
Cuba,ratified protocol,3,2020,47,47,NA,NA,NA,NA,NA,NA,2.84,Authoritarian Regime,14,9499.59,NA,NA,NA,NA,NA,27.5,72.5,NA
Cuba,ratified protocol,3,2019,48,48,NA,NA,NA,NA,NA,NA,2.84,Authoritarian Regime,14,9139.42,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,ratified protocol,3,2018,47,47,NA,NA,NA,NA,NA,NA,3,Authoritarian Regime,14,8831.91,NA,NA,NA,NA,NA,NA,NA,1.7
Cuba,ratified protocol,3,2017,47,47,NA,NA,NA,NA,NA,NA,3.31,Authoritarian Regime,15,8543.36,NA,NA,NA,NA,NA,NA,NA,1.7
Cyprus,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,31.4,68.6,NA
Cyprus,ratified both crpd and protocol,4,2022,52,52,NA,NA,NA,NA,NA,NA,7.38,Flawed Democracy,93,31283.51,NA,NA,NA,NA,NA,32.1,67.9,6.78
Cyprus,ratified both crpd and protocol,4,2021,53,53,NA,NA,NA,NA,NA,NA,7.43,Flawed Democracy,94,31552.04,0.9,81.2,15.65,12.44,NA,32,68,7.51
Cyprus,ratified both crpd and protocol,4,2020,57,57,NA,NA,NA,NA,NA,NA,7.56,Flawed Democracy,94,28035.98,NA,NA,NA,NA,NA,30,70,7.76
Cyprus,ratified both crpd and protocol,4,2019,58,58,NA,NA,NA,NA,NA,NA,7.59,Flawed Democracy,94,29417.92,NA,NA,NA,NA,NA,29.3,70.7,7.15
Cyprus,ratified both crpd and protocol,4,2018,59,59,NA,NA,NA,NA,NA,NA,7.59,Flawed Democracy,94,29419.89,NA,NA,NA,NA,NA,30.2,69.8,8.5
Cyprus,ratified both crpd and protocol,4,2017,57,57,NA,NA,NA,NA,NA,NA,7.59,Flawed Democracy,94,26697.01,NA,NA,NA,NA,NA,32.5,67.5,11.16
Czech Republic,ratified both crpd and protocol,4,2023,NA,NA,57,70,57,74,51,29,NA,NA,92,NA,NA,NA,NA,NA,57,26.6,73.4,NA
Czech Republic,ratified both crpd and protocol,4,2022,56,56,NA,NA,NA,NA,NA,NA,7.97,Flawed Democracy,91,27638.37,NA,NA,NA,NA,NA,25.5,74.5,2.22
Czech Republic,ratified both crpd and protocol,4,2021,54,54,NA,NA,NA,NA,NA,NA,7.74,Flawed Democracy,91,26822.51,0.89,77.73,16.22,12.87,NA,25.3,74.7,2.8
Czech Republic,ratified both crpd and protocol,4,2020,54,54,NA,NA,NA,NA,NA,NA,7.67,Flawed Democracy,91,22992.88,NA,NA,NA,NA,NA,25.5,74.5,2.55
Czech Republic,ratified both crpd and protocol,4,2019,56,56,NA,NA,NA,NA,NA,NA,7.69,Flawed Democracy,91,23664.85,NA,NA,NA,NA,NA,26.7,73.3,2.02
Czech Republic,ratified both crpd and protocol,4,2018,59,59,NA,NA,NA,NA,NA,NA,7.69,Flawed Democracy,93,23424.48,NA,NA,NA,NA,NA,28.8,71.2,2.25
Czech Republic,ratified both crpd and protocol,4,2017,57,57,NA,NA,NA,NA,NA,NA,7.62,Flawed Democracy,94,20636.2,NA,NA,NA,NA,NA,30.2,69.8,2.89
North Korea,ratified protocol,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,1.08,Authoritarian Regime,3,NA,NA,73.28,10.78,NA,NA,NA,NA,NA
North Korea,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,1.08,Authoritarian Regime,3,NA,NA,NA,NA,NA,NA,60.3,39.7,NA
North Korea,ratified protocol,3,2020,NA,NA,NA,NA,NA,NA,NA,NA,1.08,Authoritarian Regime,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
